,time,name,size,type,price
0,11:38:36,hawaiian,M,classic,13.25
1,11:57:40,classic_dlx,M,classic,16.0
2,11:57:40,mexicana,M,veggie,16.0
3,11:57:40,thai_ckn,L,chicken,20.75
4,11:57:40,five_cheese,L,veggie,18.5
5,11:57:40,ital_supr,L,supreme,20.75
6,12:12:28,prsc_argla,L,supreme,20.75
7,12:12:28,ital_supr,M,supreme,16.5
8,12:16:31,ital_supr,M,supreme,16.5
9,12:21:30,ital_supr,M,supreme,16.5
10,12:29:36,bbq_ckn,S,chicken,12.75
11,12:29:36,the_greek,S,classic,12.0
12,12:50:37,spinach_supr,S,supreme,12.5
13,12:51:37,spinach_supr,S,supreme,12.5
14,12:52:01,ital_supr,L,supreme,20.75
15,12:52:01,mexicana,S,veggie,12.0
16,12:52:01,spin_pesto,L,veggie,20.75
17,12:52:01,spicy_ital,L,supreme,20.75
18,12:52:01,ital_cpcllo,L,classic,20.5
19,12:52:01,veggie_veg,S,veggie,12.0
20,12:52:01,green_garden,S,veggie,12.0
21,12:52:01,classic_dlx,S,classic,12.0
22,12:52:01,ital_supr,S,supreme,12.5
23,13:00:15,mexicana,L,veggie,20.25
24,13:00:15,southw_ckn,L,chicken,20.75
25,13:02:59,pepperoni,L,classic,15.25
26,13:02:59,cali_ckn,L,chicken,20.75
27,13:02:59,cali_ckn,M,chicken,16.75
28,13:02:59,bbq_ckn,L,chicken,20.75
29,13:04:41,cali_ckn,S,chicken,12.75
30,13:04:41,ital_supr,M,supreme,16.5
31,13:04:41,cali_ckn,L,chicken,20.75
32,13:04:41,ckn_pesto,L,chicken,20.75
33,13:11:55,mexicana,L,veggie,20.25
34,13:14:19,the_greek,S,classic,12.0
35,13:33:00,big_meat,S,classic,12.0
36,13:33:00,five_cheese,L,veggie,18.5
37,13:33:00,soppressata,L,supreme,20.75
38,13:33:00,the_greek,S,classic,12.0
39,13:34:07,thai_ckn,L,chicken,20.75
40,13:34:07,four_cheese,L,veggie,17.95
41,13:34:07,napolitana,S,classic,12.0
42,13:53:00,mediterraneo,M,veggie,16.0
43,13:53:00,bbq_ckn,L,chicken,20.75
44,13:53:00,ital_supr,M,supreme,16.5
45,13:53:00,mexicana,L,veggie,20.25
46,13:53:00,four_cheese,M,veggie,14.75
47,13:53:00,spinach_fet,L,veggie,20.25
48,13:53:00,mediterraneo,M,veggie,16.0
49,13:53:00,five_cheese,L,veggie,18.5
50,13:53:00,ital_veggie,S,veggie,12.75
51,13:53:00,calabrese,M,supreme,16.25
52,13:53:00,peppr_salami,S,supreme,12.5
53,13:57:08,napolitana,L,classic,20.5
54,13:59:09,sicilian,L,supreme,20.25
55,13:59:09,ital_cpcllo,L,classic,20.5
56,14:03:08,five_cheese,L,veggie,18.5
57,14:03:08,big_meat,S,classic,12.0
58,14:14:29,ital_cpcllo,L,classic,20.5
59,14:16:26,ital_cpcllo,M,classic,16.0
60,14:16:26,southw_ckn,L,chicken,20.75
61,14:16:26,five_cheese,L,veggie,18.5
62,14:19:03,southw_ckn,S,chicken,12.75
63,14:23:01,ital_cpcllo,M,classic,16.0
64,14:23:01,pepperoni,M,classic,12.5
65,14:23:01,prsc_argla,S,supreme,12.5
66,14:23:01,bbq_ckn,M,chicken,16.75
67,14:44:44,thai_ckn,L,chicken,20.75
68,14:44:44,sicilian,M,supreme,16.25
69,14:54:26,classic_dlx,S,classic,12.0
70,14:54:26,veggie_veg,L,veggie,20.25
71,15:11:17,bbq_ckn,L,chicken,20.75
72,15:11:17,spinach_fet,L,veggie,20.25
73,15:11:17,classic_dlx,M,classic,16.0
74,15:35:46,ckn_alfredo,S,chicken,12.75
75,15:41:01,green_garden,S,veggie,12.0
76,15:41:25,thai_ckn,L,chicken,20.75
77,15:50:18,mexicana,M,veggie,16.0
78,15:50:18,pepperoni,S,classic,9.75
79,15:53:18,ital_cpcllo,L,classic,20.5
80,15:53:18,green_garden,L,veggie,20.25
81,15:53:18,big_meat,S,classic,12.0
82,15:53:18,ital_supr,M,supreme,16.5
83,15:54:08,bbq_ckn,L,chicken,20.75
84,15:54:08,green_garden,S,veggie,12.0
85,16:21:21,the_greek,S,classic,12.0
86,16:32:04,pepperoni,M,classic,12.5
87,16:32:04,pep_msh_pep,L,classic,17.5
88,16:32:04,thai_ckn,L,chicken,20.75
89,16:32:04,green_garden,M,veggie,16.0
90,16:54:09,bbq_ckn,M,chicken,16.75
91,16:54:09,classic_dlx,M,classic,16.0
92,16:56:09,mexicana,L,veggie,20.25
93,16:56:09,ital_supr,L,supreme,20.75
94,17:03:00,ital_cpcllo,L,classic,20.5
95,17:03:00,hawaiian,S,classic,10.5
96,17:07:23,ital_supr,L,supreme,20.75
97,17:14:36,southw_ckn,S,chicken,12.75
98,17:14:36,four_cheese,L,veggie,17.95
99,17:15:20,green_garden,S,veggie,12.0
100,17:15:20,four_cheese,M,veggie,14.75
101,17:28:09,big_meat,S,classic,12.0
102,17:28:09,five_cheese,L,veggie,18.5
103,17:28:09,peppr_salami,M,supreme,16.5
104,17:28:09,mexicana,L,veggie,20.25
105,17:38:34,ital_supr,M,supreme,16.5
106,17:38:34,peppr_salami,L,supreme,20.75
107,17:38:34,ckn_alfredo,M,chicken,16.75
108,17:54:20,spin_pesto,S,veggie,12.5
109,17:55:48,four_cheese,L,veggie,17.95
110,17:55:48,hawaiian,S,classic,10.5
111,17:55:48,thai_ckn,M,chicken,16.75
112,18:25:51,thai_ckn,M,chicken,16.75
113,18:25:51,ckn_pesto,L,chicken,20.75
114,18:25:51,classic_dlx,L,classic,20.5
115,18:26:34,veggie_veg,S,veggie,12.0
116,18:26:34,southw_ckn,L,chicken,20.75
117,18:26:42,prsc_argla,L,supreme,20.75
118,18:26:42,spicy_ital,L,supreme,20.75
119,18:26:42,green_garden,S,veggie,12.0
120,18:26:42,ckn_pesto,M,chicken,16.75
121,18:33:00,sicilian,L,supreme,20.25
122,18:41:01,the_greek,XL,classic,25.5
123,18:48:28,bbq_ckn,L,chicken,20.75
124,18:48:28,pep_msh_pep,L,classic,17.5
125,18:53:02,spicy_ital,L,supreme,20.75
126,18:53:02,mexicana,L,veggie,20.25
127,18:53:02,hawaiian,L,classic,16.5
128,18:54:17,pep_msh_pep,S,classic,11.0
129,18:54:17,spinach_supr,M,supreme,16.5
130,19:01:45,prsc_argla,M,supreme,16.5
131,19:01:45,thai_ckn,L,chicken,20.75
132,19:03:19,peppr_salami,S,supreme,12.5
133,19:03:19,spicy_ital,L,supreme,20.75
134,19:07:00,southw_ckn,M,chicken,16.75
135,19:07:00,classic_dlx,M,classic,16.0
136,19:07:00,mediterraneo,L,veggie,20.25
137,19:10:51,classic_dlx,M,classic,16.0
138,19:30:40,five_cheese,L,veggie,18.5
139,19:30:40,pepperoni,M,classic,12.5
140,19:40:08,pep_msh_pep,S,classic,11.0
141,19:40:08,pepperoni,L,classic,15.25
142,19:40:08,ital_veggie,S,veggie,12.75
143,20:05:16,ckn_pesto,L,chicken,20.75
144,20:05:16,four_cheese,M,veggie,14.75
145,20:08:43,ital_supr,L,supreme,20.75
146,20:08:43,bbq_ckn,M,chicken,16.75
147,20:50:16,spinach_supr,M,supreme,16.5
148,20:50:16,bbq_ckn,M,chicken,16.75
149,20:51:42,pep_msh_pep,M,classic,14.5
150,20:52:08,big_meat,S,classic,12.0
151,21:16:00,spinach_supr,M,supreme,16.5
152,21:16:00,pep_msh_pep,S,classic,11.0
153,21:16:00,sicilian,S,supreme,12.25
154,21:16:00,spicy_ital,S,supreme,12.5
155,21:47:55,classic_dlx,M,classic,16.0
156,21:47:55,ital_cpcllo,M,classic,16.0
157,22:03:40,southw_ckn,L,chicken,20.75
158,22:07:32,ital_supr,L,supreme,20.75
159,22:07:32,classic_dlx,M,classic,16.0
160,22:07:32,ital_supr,M,supreme,16.5
161,22:12:13,bbq_ckn,L,chicken,20.75
162,11:38:51,soppressata,L,supreme,20.75
163,11:38:51,ital_veggie,S,veggie,12.75
164,11:40:50,thai_ckn,L,chicken,20.75
165,11:57:25,spinach_fet,L,veggie,20.25
166,11:58:56,thai_ckn,S,chicken,12.75
167,12:01:12,mexicana,L,veggie,20.25
168,12:01:12,spin_pesto,S,veggie,12.5
169,12:01:12,spinach_supr,L,supreme,20.75
170,12:01:12,five_cheese,L,veggie,18.5
171,12:10:15,napolitana,L,classic,20.5
172,12:10:15,ital_supr,S,supreme,12.5
173,12:10:15,mediterraneo,L,veggie,20.25
174,12:21:17,hawaiian,L,classic,16.5
175,12:21:17,ital_veggie,L,veggie,21.0
176,12:21:17,spicy_ital,L,supreme,20.75
177,12:21:17,big_meat,S,classic,12.0
178,12:22:46,hawaiian,M,classic,13.25
179,12:22:46,bbq_ckn,M,chicken,16.75
180,12:28:14,classic_dlx,S,classic,12.0
181,12:28:14,spicy_ital,L,supreme,20.75
182,12:28:14,spicy_ital,L,supreme,20.75
183,12:28:14,thai_ckn,S,chicken,12.75
184,12:28:14,four_cheese,L,veggie,17.95
185,12:28:14,ital_cpcllo,M,classic,16.0
186,12:28:14,spicy_ital,L,supreme,20.75
187,12:28:14,big_meat,S,classic,12.0
188,12:29:11,ital_cpcllo,L,classic,20.5
189,12:29:11,thai_ckn,L,chicken,20.75
190,12:29:11,pep_msh_pep,S,classic,11.0
191,12:35:38,pepperoni,S,classic,9.75
192,12:35:38,thai_ckn,M,chicken,16.75
193,12:40:01,thai_ckn,L,chicken,20.75
194,12:45:51,spicy_ital,L,supreme,20.75
195,12:45:51,big_meat,S,classic,12.0
196,12:45:51,cali_ckn,M,chicken,16.75
197,12:45:51,veggie_veg,M,veggie,16.0
198,12:53:27,southw_ckn,S,chicken,12.75
199,13:13:41,pepperoni,L,classic,15.25
200,13:34:49,classic_dlx,S,classic,12.0
201,13:34:49,classic_dlx,M,classic,16.0
202,13:34:49,ital_supr,L,supreme,20.75
203,13:34:49,the_greek,M,classic,16.0
204,13:40:31,hawaiian,L,classic,16.5
205,14:01:02,mexicana,M,veggie,16.0
206,14:01:02,ital_cpcllo,M,classic,16.0
207,14:01:02,spinach_supr,S,supreme,12.5
208,14:01:02,spinach_supr,L,supreme,20.75
209,14:10:08,five_cheese,L,veggie,18.5
210,14:30:19,thai_ckn,L,chicken,20.75
211,14:30:19,soppressata,L,supreme,20.75
212,15:08:48,thai_ckn,S,chicken,12.75
213,15:08:48,sicilian,L,supreme,20.25
214,15:14:43,bbq_ckn,L,chicken,20.75
215,15:14:43,pepperoni,S,classic,9.75
216,15:14:43,bbq_ckn,L,chicken,20.75
217,15:14:43,ckn_pesto,S,chicken,12.75
218,15:17:02,spinach_fet,S,veggie,12.0
219,15:17:02,ital_supr,M,supreme,16.5
220,15:17:02,peppr_salami,M,supreme,16.5
221,15:17:02,bbq_ckn,M,chicken,16.75
222,15:17:02,spinach_supr,S,supreme,12.5
223,15:17:02,the_greek,M,classic,16.0
224,15:17:02,ital_supr,L,supreme,20.75
225,15:17:02,pepperoni,M,classic,12.5
226,15:17:02,ital_veggie,S,veggie,12.75
227,15:17:02,the_greek,M,classic,16.0
228,15:29:31,sicilian,M,supreme,16.25
229,16:17:16,ital_cpcllo,M,classic,16.0
230,16:17:16,southw_ckn,S,chicken,12.75
231,16:18:04,peppr_salami,L,supreme,20.75
232,16:18:04,napolitana,S,classic,12.0
233,16:21:20,napolitana,S,classic,12.0
234,16:45:33,big_meat,S,classic,12.0
235,17:18:18,napolitana,L,classic,20.5
236,17:18:18,classic_dlx,L,classic,20.5
237,17:45:42,ital_supr,L,supreme,20.75
238,17:46:17,hawaiian,L,classic,16.5
239,17:51:33,soppressata,L,supreme,20.75
240,17:51:33,cali_ckn,L,chicken,20.75
241,17:51:33,pepperoni,L,classic,15.25
242,17:51:33,spicy_ital,M,supreme,16.5
243,17:54:04,prsc_argla,S,supreme,12.5
244,17:54:04,bbq_ckn,S,chicken,12.75
245,18:02:09,spinach_supr,S,supreme,12.5
246,18:02:12,veggie_veg,L,veggie,20.25
247,18:02:12,bbq_ckn,M,chicken,16.75
248,18:02:12,ital_veggie,M,veggie,16.75
249,18:02:12,ckn_alfredo,M,chicken,16.75
250,18:12:01,hawaiian,S,classic,10.5
251,18:12:01,hawaiian,S,classic,10.5
